"Code","Gene","Header","Species","Taxonomy","Classification"
"Amell","POU","Amell_A0A7M7GUR5_POU_domain_protein","Apis mellifera","Arthropoda","Bilateria"
"Dmela","POU","Dmela_P24350_Inhibitory_POU_protein","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","POU","Amell_A0A7M7MPZ4_POU_domain_protein","Apis mellifera","Arthropoda","Bilateria"
"Dmela","POU","Dmela_P16241_POU_domain_protein_CF1A","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","POU","Amell_A0A7M7GK61_POU_domain_protein","Apis mellifera","Arthropoda","Bilateria"
"Dmela","POU","Dmela_P31368_Protein_nubbin","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","POU","Dmela_Q9VK71_POU_domain_protein_2_isoform_B","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","SOX","Amell_A0A7M7G080_Transcription_factor_Sox_7","Apis mellifera","Arthropoda","Bilateria"
"Amell","SOX","Amell_A0A7M7IJP5_Transcription_factor_Sox_10_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Amell","SOX","Amell_A0A7M7H127_Transcription_factor_SOX_2_like_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Amell","SOX","Amell_A0A7M7SRG9_Transcription_factor_Sox_2_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","SOX","Dmela_M9PCZ7_SoxNeuro_isoform_B","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","SOX","Amell_A0A7M7M551_Transcription_factor_Sox_21_B_like","Apis mellifera","Arthropoda","Bilateria"
"Dmela","SOX","Dmela_Q24533_SOX_domain_containing_protein_dichaete","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","SOX","Amell_A0A7M7L976_Probable_serine_threonine_protein_kinase_DDB_G0272282","Apis mellifera","Arthropoda","Bilateria"
"Dmela","SOX","Dmela_M9PFG6_Sox21a_isoform_B","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","SOX","Amell_A0A7M7FZW8_Transcription_factor_Sox_21_B","Apis mellifera","Arthropoda","Bilateria"
"Dmela","SOX","Dmela_M9PCG2_Sox21b_isoform_C","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","SOX","Dmela_Q59DN5_FI18025p1","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","SOX","Amell_A0A7M7R6H9_Transcription_factor_SOX_5_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Amell","SOX","Amell_A0A7M7MKY2_Transcription_factor_SOX_15_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","SOX","Dmela_P40657_Putative_transcription_factor_SOX_15","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","SOX","Dmela_Q9VA17_Sox100B","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","SOX","Dmela_P40656_Putative_transcription_factor_SOX_14","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","SOX","Dmela_O61348_Bobby_sox","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7MV36_Homeobox_protein_Nkx_2_5_like","Apis mellifera","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7M0U2_Paired_mesoderm_homeobox_protein_2A","Apis mellifera","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7ILB0_Probable_serine_threonine_protein_kinase_mps1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_Q7KS77_Ladybird_early","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_A0A0B4KH37_Ladybird_late_isoform_C","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_Q9VDF0_Hematopoietically_expressed_homeobox","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_Q7KS72_C15","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_P09090_Protein_zerknuellt_2","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_P20009_Homeotic_protein_distal_less","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7IQI4_Distal_less_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7TFZ6_Homeotic_protein_empty_spiracles","Apis mellifera","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_Q9VFQ3_E5","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_P18488_Homeotic_protein_empty_spiracles","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_P10181_Homeobox_protein_rough","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7G9V6_Homeobox_protein_rough_like","Apis mellifera","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_P10035_Homeobox_protein_H2_0","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_P22807_Homeobox_protein_slou","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7GMT4_Homeobox_protein_ARX","Apis mellifera","Arthropoda","Bilateria"
"Amell","NKL","Amell_P15858_Homeobox_protein_H40_Fragment","Apis mellifera","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_P22808_Homeobox_protein_vnd","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7TFA4_Homeobox_protein_Nkx_2_4","Apis mellifera","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_Q7PL95_Scarecrow_isoform_A","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7FZF9_Homeobox_protein_Nkx_2_8_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_Q9VFK4_NK7_1_isoform_A","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7G2E5_Homeobox_protein_B_H2_like","Apis mellifera","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_Q9VEI9_Homeobox_protein_Hmx","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_P22711_Muscle_specific_homeobox_protein_tinman","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7GAQ9_Homeobox_protein_Nkx_2_5_like","Apis mellifera","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_A0A6J3T5M5_HGTX_isoform_C","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7GT82_Homeobox_protein_Nkx_6_1","Apis mellifera","Arthropoda","Bilateria"
"Amell","NKL","Amell_A0A7M7GXD9_Uncharacterized_protein_LOC102655824","Apis mellifera","Arthropoda","Bilateria"
"Dmela","NKL","Dmela_Q9W064_Dbx","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7LPU4_Paired_mesoderm_homeobox_protein_1_like_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7GVA9_Retinal_homeobox_protein_Rx1_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_Q9W3C6_IP01065p","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P09081_Homeotic_protein_bicoid","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P06602_Segmentation_protein_even_skipped","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P09087_Homeobox_protein_abdominal_B","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7MTP4_Homeobox_protein_engrailed_like","Apis mellifera","Arthropoda","Bilateria"
"Amell","HOX","Amell_P09076_Homeobox_protein_E30_Fragment","Apis mellifera","Arthropoda","Bilateria"
"Amell","HOX","Amell_G8FU58_Homeotic_protein_caudal","Apis mellifera","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P09085_Homeotic_protein_caudal","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7LMF4_Homeobox_protein_ceh_19","Apis mellifera","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_Q8MZ02_Lateral_muscles_scarcer_isoform_B","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_M9NDG6_Homeobox_domain_containing_protein","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7IRQ7_Homeobox_protein_HMX2","Apis mellifera","Arthropoda","Bilateria"
"Amell","HOX","Amell_D2K023_Ultrabithorax","Apis mellifera","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7MVJ5_Ultrabithorax_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P83949_Homeotic_protein_ultrabithorax","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7IMY3_Homeobox_protein_abdominal_A_homolog_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P29555_Homeobox_protein_abdominal_A","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","HOX","Amell_P15860_Homeobox_protein_H90_Fragment","Apis mellifera","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7IJA6_Homeobox_protein_H90_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Amell","HOX","Amell_Q9GYV0_Homeobox_protein_H90","Apis mellifera","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P02833_Homeotic_protein_antennapedia","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7IK85_Homeobox_protein_Hox_B4","Apis mellifera","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P02835_Segmentation_protein_fushi_tarazu","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7MUX9_Homeobox_protein_H55","Apis mellifera","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P09077_Homeotic_protein_Sex_combs_reduced","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7FYJ3_Homeotic_protein_deformed","Apis mellifera","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P07548_Homeotic_protein_deformed","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_Q7KUL4_Intermediate_neuroblasts_defective","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7GRY6_Homeobox_protein_Hox_C6a_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7GTX2_Homeobox_protein_Hox_B1a_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P10105_Homeotic_protein_labial","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","HOX","Dmela_P31264_Homeotic_protein_proboscipedia","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7FYS6_Homeobox_protein_GBX_2","Apis mellifera","Arthropoda","Bilateria"
"Amell","HOX","Amell_A0A7M7GL18_Homeobox_protein_abdominal_B_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Amell","ZF","Amell_A0A7M7LLT0_Zinc_finger_protein_1_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","ZF","Dmela_P28166_Zinc_finger_protein_1","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","ZF","Amell_A0A7M7GNP0_Segmentation_protein_even_skipped_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Amell","ZF","Amell_A0A7M7SR14_Zinc_finger_homeobox_protein_4_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","ZF","Dmela_P28167_Zinc_finger_protein_2","Drosophila melanogaster","Arthropoda","Bilateria"
"Dmela","SINE","Dmela_Q95RW8_Protein_Optix","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","SINE","Amell_A0A7M7R9A5_Homeobox_protein_SIX3","Apis mellifera","Arthropoda","Bilateria"
"Amell","SINE","Amell_A0A7M7LKH3_Homeobox_protein_SIX6","Apis mellifera","Arthropoda","Bilateria"
"Dmela","SINE","Dmela_Q9Y1P6_GM13131p","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","SINE","Amell_A0A7M7GRV2_Homeobox_protein_SIX2_isoform_X1","Apis mellifera","Arthropoda","Bilateria"
"Dmela","SINE","Dmela_Q27350_Protein_sine_oculis","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","CUT","Amell_A0A7M7MQI0_One_cut_domain_family_member","Apis mellifera","Arthropoda","Bilateria"
"Dmela","CUT","Dmela_Q9NJB5_Homeobox_protein_onecut","Drosophila melanogaster","Arthropoda","Bilateria"
"Amell","CUT","Amell_A0A7M7MH91_Homeobox_protein_cut_like","Apis mellifera","Arthropoda","Bilateria"
"Dmela","CUT","Dmela_P10180_Homeobox_protein_cut","Drosophila melanogaster","Arthropoda","Bilateria"
"Lungu","LIM","Lungu_A0A1S3JT23_LIM_homeobox_protein_Lhx1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","LIM","Lungu_A0A1S3H8A2_LIM_homeobox_protein_Lhx3","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","LIM","Lungu_A0A1S3JXZ8_LIM_homeobox_transcription_factor_1_alpha_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","LIM","Lungu_A0A1S3JNH1_LIM_homeobox_protein_Awh","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","LIM","Lungu_A0A1S3IYZ0_LIM_homeobox_protein_Lhx9_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","LIM","Lungu_A0A1S3INK5_Insulin_gene_enhancer_protein_ISL_1_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","CERS","Lungu_A0A1S3H7Z6_Ceramide_synthase_6_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","CERS","Lungu_A0A2R2MLS5_Ceramide_synthase_6","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","POU","Lungu_A0A1S3HQ40_POU_domain_protein","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","POU","Lungu_A0A1S3K981_POU_domain_protein","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","POU","Lungu_A0A1S3I3F7_POU_domain_protein","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","POU","Lungu_A0A1S3JX12_POU_domain_protein","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","SOX","Lungu_A0A1S3JCR3_Transcription_factor_SOX_5_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","SOX","Lungu_A0A1S3IRW3_Transcription_factor_Sox_2","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","SOX","Lungu_A0A1S3ISL2_Transcription_factor_SOX_14","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","SOX","Lungu_A0A1S3IM14_Transcription_factor_SOX_4_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","SOX","Lungu_A0A1S3H546_Transcription_factor_Sox_10","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","SOX","Lungu_A0A1S3H584_Transcription_factor_SOX_9","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","SOX","Lungu_A0A1S3J9F2_Transcription_factor_Sox_7","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","SOX","Lungu_A0A1S3ICH1_Uncharacterized_protein_LOC106162714","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3J696_Homeobox_protein_ceh_9","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3J6N7_Homeobox_protein_Nkx_6_3","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3H7X4_Short_stature_homeobox_protein_2_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3I1R3_Retinal_homeobox_protein_Rx1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3J2Q7_Homeobox_protein_Nkx_3_1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3GYF3_Transcription_factor_LBX1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3JK44_Hematopoietically_expressed_homeobox_protein_hhex","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A2R2MQC0_Hematopoietically_expressed_homeobox_protein_hhex_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3IAV9_Homeobox_protein_Dlx1a_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3J722_Homeobox_protein_EMX2","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3ICV4_Homeobox_protein_rough_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A2R2MQ56_Homeobox_protein_rough_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A2R2MPT5_H2_0_like_homeobox_protein","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3GZW7_Homeobox_protein_Nkx_2_5","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3J301_Homeobox_protein_Nkx_2_2","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3J0F6_Homeobox_protein_slou","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3IZY0_Homeobox_protein_slou","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A2R2MMV8_Homeobox_protein_XENK_2","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3K4Q3_Homeobox_protein_unc_4_homolog","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3JT19_Dorsal_root_ganglia_homeobox_protein","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3GZX2_Homeobox_protein_Nkx_3_2","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3JI32_Homeobox_protein_Nkx_6_2","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3JT71_Homeobox_protein_DBX1_A","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","NKL","Lungu_A0A1S3H075_Hematopoietically_expressed_homeobox_protein_hhex","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3K0S3_Homeobox_protein_Hox_A3_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3I6F6_Homeobox_protein_Hox_A11","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3IUK9_Segmentation_protein_even_skipped_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3HPN8_Homeobox_protein_CDX_1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3K9U5_Homeobox_protein_CDX_1_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3IYI3_Homeobox_protein_Hox_B7_B_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3IML9_Homeobox_protein_Hox_A7_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3IWL1_Homeobox_protein_Hox_B7","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3IMP4_Homeobox_protein_Hox_B7_A_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3HKW6_Homeobox_protein_Hox_C4a_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3ILR7_Homeobox_protein_Hox_A5","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A2R2ML34_GS_homeobox_2_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3ICZ4_Homeobox_protein_MOX_1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3IX98_Homeobox_protein_Hox_C11_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3JQF9_Pancreas_duodenum_homeobox_protein_1_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3ILP8_Homeobox_protein_Hox_A1_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3IMM9_Uncharacterized_protein_LOC106165492_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3INP6_Homeobox_protein_Hox_A3_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HOX","Lungu_A0A1S3HM04_Homeobox_protein_GBX_2_like","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","ZF","Lungu_A0A1S3JL00_Diencephalon_mesencephalon_homeobox_protein_1_A","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","ZF","Lungu_A0A1S3H2I8_Zinc_finger_E_box_binding_homeobox_2_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","ZF","Lungu_A0A1S3I0Y0_Zinc_finger_homeobox_protein_4_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","ZF","Lungu_A0A1S3JFK1_Paired_box_protein_Pax_7","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","SINE","Lungu_A0A1S3K7U8_Homeobox_protein_SIX6","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","SINE","Lungu_A0A1S3HBA6_Homeobox_protein_six1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","SINE","Lungu_A0A1S3JX47_Homeobox_protein_six1a","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HNF","Lungu_A0A1S3HET3_Hepatocyte_nuclear_factor_1_alpha_isoform_X1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","HNF","Lungu_A0A1S3KEG4_Homeobox_containing_protein_1","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","CUT","Lungu_A0A1S3JH16_Uncharacterized_protein_LOC106173195_isoform_X2","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","CUT","Lungu_A0A1S3J389_One_cut_domain_family_member","Lingula unguis","Brachiopoda","Bilateria"
"Lungu","CUT","Lungu_A0A1S3K289_Homeobox_protein_cut_like","Lingula unguis","Brachiopoda","Bilateria"
"Dreri","LIM","Dreri_O13106_LIM_class_homeodomain_protein","Danio rerio","Chordata","Bilateria"
"Dreri","LIM","Dreri_Q90476_LIM_homeobox_protein_Lhx1","Danio rerio","Chordata","Bilateria"
"Hsapi","LIM","Hsapi_P48742_LIM_homeobox_protein_Lhx1","Homo sapiens","Chordata","Bilateria"
"Dreri","LIM","Dreri_P52889_LIM_homeobox_protein_Lhx5","Danio rerio","Chordata","Bilateria"
"Hsapi","LIM","Hsapi_Q9H2C1_LIM_homeobox_protein_Lhx5","Homo sapiens","Chordata","Bilateria"
"Dreri","LIM","Dreri_Q90421_LIM_homeobox_protein_Lhx3","Danio rerio","Chordata","Bilateria"
"Hsapi","LIM","Hsapi_Q9UBR4_LIM_homeobox_protein_Lhx3","Homo sapiens","Chordata","Bilateria"
"Dreri","LIM","Dreri_B0S5S7_LIM_homeobox_4","Danio rerio","Chordata","Bilateria"
"Hsapi","LIM","Hsapi_Q969G2_LIM_homeobox_protein_Lhx4","Homo sapiens","Chordata","Bilateria"
"Dreri","LIM","Dreri_F1QFN7_LIM_homeobox_transcription_factor_1_alpha_like","Danio rerio","Chordata","Bilateria"
"Dreri","LIM","Dreri_Q5RI65_LIM_homeobox_transcription_factor_1_alpha","Danio rerio","Chordata","Bilateria"
"Hsapi","LIM","Hsapi_Q8TE12_LIM_homeobox_transcription_factor_1_alpha","Homo sapiens","Chordata","Bilateria"
"Dreri","LIM","Dreri_Q4L1M6_LIM_homeobox_transcription_factor_1_beta_1","Danio rerio","Chordata","Bilateria"
"Hsapi","LIM","Hsapi_O60663_LIM_homeobox_transcription_factor_1_beta","Homo sapiens","Chordata","Bilateria"
"Dreri","LIM","Dreri_Q4L1M5_LIM_homeobox_transcription_factor_1_beta_a","Danio rerio","Chordata","Bilateria"
"Dreri","LIM","Dreri_Q6BDC4_LIM_homeobox_6","Danio rerio","Chordata","Bilateria"
"Hsapi","LIM","Hsapi_Q9UPM6_LIM_homeobox_protein_Lhx6","Homo sapiens","Chordata","Bilateria"
"Dreri","LIM","Dreri_A0A8N7T6W5_LIM_homeobox_protein_Lhx6","Danio rerio","Chordata","Bilateria"
"Dreri","LIM","Dreri_A0A8M3AV27_LIM_homeobox_protein_Lhx8_like","Danio rerio","Chordata","Bilateria"
"Dreri","LIM","Dreri_Q6BDC3_LIM_homeobox_8","Danio rerio","Chordata","Bilateria"
"Hsapi","LIM","Hsapi_Q68G74_LIM_homeobox_protein_Lhx8","Homo sapiens","Chordata","Bilateria"
